1回目のキー,2回目のキー,送信キー,*1回目変換,*2回目変換
1,1,a,la,
1,2,i,li,
1,3,u,lu,
1,4,e,le,
1,5,o,lo,
1,6,.,,
1,7,-,,
1,8,@,,
1,9,_,,
1,0,1,,
2,1,ka,ga,lka
2,2,ki,gi,
2,3,ku,gu,
2,4,ke,ge,lke
2,5,ko,go,
2,6,,,
2,7,a,,
2,8,b,,
2,9,c,,
2,0,2,,
3,1,sa,za,
3,2,si,ji,
3,3,su,zu,
3,4,se,ze,
3,5,so,zo,
3,6,,,
3,7,d,,
3,8,e,,
3,9,f,,
3,0,3,,
4,1,ta,da,
4,2,ti,di,
4,3,tu,ltu,du
4,4,te,de,
4,5,to,do,
4,6,ltu,,
4,7,g,,
4,8,h,,
4,9,i,,
4,0,4,,
5,1,na,,
5,2,ni,,
5,3,nu,,
5,4,ne,,
5,5,no,,
5,6,,,
5,7,j,,
5,8,k,,
5,9,l,,
5,0,5,,
6,1,ha,ba,pa
6,2,hi,bi,pi
6,3,hu,bu,pu
6,4,he,be,pe
6,5,ho,bo,po
6,6,,,
6,7,m,,
6,8,n,,
6,9,o,,
6,0,6,,
7,1,ma,,
7,2,mi,,
7,3,mu,,
7,4,me,,
7,5,mo,,
7,6,p,,
7,7,q,,
7,8,r,,
7,9,s,,
7,0,7,,
8,1,ya,lya,
8,2,lya,,
8,3,yu,lyu,
8,4,lyu,,
8,5,yo,lyo,
8,6,lyo,,
8,7,t,,
8,8,u,,
8,9,v,,
8,0,8,,
9,1,ra,,
9,2,ri,,
9,3,ru,,
9,4,re,,
9,5,ro,,
9,6,w,,
9,7,x,,
9,8,y,,
9,9,z,,
9,0,9,,
0,1,wa,,
0,2,wo,,
0,3,nn,,
0,4,",",,
0,5,.,,
0,6,-,,
0,7,:,,
0,8,!,,
0,9,?,,
0,0,0,,
