Key definition for Keychron Q0 Max,,,,
Renc,Cir,Tri,Sqr,Crs
M1,1,2,3, -
M2,4,5,6,Ent
M3,7,8,9,
M4,*,0,#,Ent2
M5,Space,,.,
,,,,
ARTSEY_ALPHAレイヤー,,,,
1,,,,a
2,,,,r
3,,,,t
-,,,,s
4,,,,e
5,,,,y
6,,,,i
Ent,,,,o
1,2,,,f
2,3,,,g
3,-,,,j
4,5,,,c
5,6,,,u
6,Ent,,,n
1,4,,,Enter
2,5,,,'
3,6,,,!
-,Ent,,,?
1,-,,,w
4,Ent,,,b
1,2,3,,d
5,6,Ent,,m
1,3,-,,q
4,6,Ent,,p
2,-,,,v
4,6,,,h
1,-,,,w
5,Ent,,,k
2,3,-,,x
4,5,6,Ent,Space
1,2,3,-,z
4,5,6,,l
1,5,,,","
2,6,,,Backspace
1,6,,,.
1,Ent,,,/
7,,,,N/A
8,,,,N/A
9,,,,N/A
*,,,,N/A
0,,,,N/A
#,,,,N/A
Ent2,,,,Backspace
Space,,,,Space
.,,,,N/A
,,,,
ARTSEY_KAKOレイヤー,,,,
1,,,,N/A
2,,,,(
3,,,,[
-,,,,{
4,,,,N/A
5,,,,)
6,,,,]
Ent,,,,}
,,,,
ARTSEY_SYMBOLレイヤー1,,,,
1,,,,#
2,,,,`
3,,,,;
-,,,,\
4,,,,N/A
5,,,,@
6,,,,-
Ent,,,,=
,,,,
ARTSEY_SYMBOLレイヤー2,,,,
1,,,,$
2,,,,%
3,,,,^
-,,,,N/A
4,,,,&
5,,,,*
6,,,,_
Ent,,,,N/A
,,,,
ARTSEY_SYMBOLレイヤー3,,,,
1,,,,+
2,,,,|
3,,,,:
-,,,,N/A
4,,,,<
5,,,,>
6,,,,~
Ent,,,,N/A
